"Date","Price","Open","High","Low","Vol.","Change %"
"May 20","1,700.90","1,693.50","1,714.40","1,676.00","-","0.40%"
"Apr 20","1,694.20","1,589.40","1,788.80","1,576.00","3.73M","6.41%"
"Mar 20","1,592.10","1,587.05","1,703.90","1,451.00","1.72K","1.62%"
"Feb 20","1,566.70","1,597.80","1,691.70","1,551.10","7.43M","-1.34%"
"Jan 20","1,587.90","1,527.50","1,619.60","1,526.00","2.15M","4.50%"
"Dec 19","1,519.50","1,462.80","1,523.40","1,453.30","12.30K","3.68%"
"Nov 19","1,465.60","1,511.00","1,511.60","1,447.10","97.34K","-3.03%"
"Oct 19","1,511.40","1,468.70","1,518.20","1,458.30","4.81K","3.12%"
"Sep 19","1,465.70","1,522.90","1,553.20","1,463.50","9.50K","-3.52%"
"Aug 19","1,519.10","1,411.30","1,549.30","1,400.90","14.45K","6.52%"
"Jul 19","1,426.10","1,386.60","1,444.20","1,382.80","77.78K","1.16%"
"Jun 19","1,409.70","1,307.00","1,433.30","1,307.00","5.27K","7.96%"
"May 19","1,305.80","1,278.70","1,306.40","1,266.60","58.75K","1.79%"
"Apr 19","1,282.80","1,291.80","1,307.10","1,266.00","6.16K","-0.79%"
"Mar 19","1,293.00","1,312.20","1,322.90","1,281.00","89.44K","-1.51%"
"Feb 19","1,312.80","1,320.30","1,344.00","1,301.60","7.23K","-0.52%"
"Jan 19","1,319.70","1,286.00","1,325.40","1,275.30","57.39K","3.24%"
"Dec 18","1,278.30","1,222.50","1,281.30","1,221.30","3.92K","4.76%"
"Nov 18","1,220.20","1,215.40","1,233.80","1,196.30","57.64K","0.65%"
"Oct 18","1,212.30","1,191.60","1,238.60","1,183.70","3.91K","1.75%"
"Sep 18","1,191.50","1,199.30","1,205.00","1,180.00","5.55K","-0.73%"
"Aug 18","1,200.30","1,222.90","1,223.70","1,161.40","5.21K","-1.91%"
"Jul 18","1,223.70","1,249.90","1,262.30","1,211.70","65.29K","-2.21%"
"Jun 18","1,251.30","1,298.60","1,307.70","1,244.80","4.02K","-3.75%"
